game_id,team_abbreviation_home,season_fg_pct_home,season_3pt_pct_home,season_tov_avg_home,season_ast_avg_home,season_ast_tov_pct_home,season_avg_fta_game_home,season_ft_pct_game_home,team_abbreviation_away,season_fg_pct_away,season_3pt_pct_away,season_tov_avg_away,season_ast_avg_away,season_ast_tov_pct_away,season_avg_fta_game_away,season_ft_pct_game_away,off_1,off_1_num_games,off_1_avg_fta,off_1_avg_pts_per_game,off_1_avg_score_diff,off_1_avg_pbp,off_2,off_2_num_games,off_2_avg_fta,off_2_avg_pts_per_game,off_2_avg_score_diff,off_2_avg_pbp,off_3,off_3_num_games,off_3_avg_fta,off_3_avg_pts_per_game,off_3_avg_score_diff,off_3_avg_pbp,total_game_points,matchup_fg_pct,matchup_3pt_pct,matchup_tov_avg,matchup_ast_avg,matchup_ast_tov_pct,matchup_avg_fta_game,matchup_ft_pct_game
0022200005,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,HOU,0.4570000000000001,0.3209756097560976,16.24390243902439,23.0,1.4159159159159158,24.951219512195124,0.7547317073170732,Ed_Malloy,38,45.921052631578945,232.60526315789474,11,459,Jenna_Reneau,3,38.333333333333336,239.66666666666666,8,464,Ben_Taylor,56,48.32142857142857,230.375,12,470,224.0,0.938,0.6325000000000001,30.5,47.0,1.540983606557377,58.0,1.7005
0022200020,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,ORL,0.45746341463414636,0.33036585365853655,15.097560975609756,21.75609756097561,1.4410339256865912,24.317073170731707,0.7816341463414636,Brandon_Schwab,31,44.41935483870968,228.90322580645162,11,466,Dedric_Taylor,52,46.48076923076923,229.48076923076923,10,469,Zach_Zarba,56,44.25,230.14285714285714,11,463,206.0,0.97225,0.67875,27.75,52.25,1.882882882882883,48.0,1.73725
0022200038,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,CHA,0.4613414634146342,0.3195121951219513,13.975609756097562,25.048780487804876,1.7923211169284468,23.804878048780488,0.7495121951219512,Nick_Buchert,49,48.46938775510204,227.77551020408163,9,465,Pat_Fraher,48,49.958333333333336,229.02083333333334,7,477,Andy_Nagy,36,44.638888888888886,230.11111111111111,11,459,235.0,1.012,0.8185,28.0,54.0,1.9285714285714286,49.25,1.6315
0022200134,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,NOP,0.47868292682926816,0.3484878048780488,14.585365853658537,25.926829268292682,1.7775919732441472,24.073170731707318,0.79190243902439,JB_DeRosa,52,50.69230769230769,232.51923076923077,10,480,Scott_Foster,47,46.638297872340424,233.2127659574468,10,467,Robert_Hussey,25,47.04,230.04,13,454,245.0,0.9165,0.631,25.5,54.5,2.1372549019607843,49.5,1.4905
0022200162,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,UTA,0.47695121951219505,0.3408048780487804,15.0,26.4390243902439,1.7626016260162602,21.170731707317074,0.7928048780487805,Ray_Acosta,56,46.25,225.32142857142858,9,461,Ashley_Moyer-Gleich,50,47.34,234.36,10,462,James_Williams,51,42.78431372549019,228.45098039215685,13,460,244.0,0.925,0.6435,24.0,49.5,2.0625,38.0,1.5559999999999998
0022200173,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,PHI,0.4954146341463414,0.3837560975609756,13.731707317073171,24.634146341463413,1.7939609236234457,25.170731707317074,0.8302439024390246,Matt_Boland,42,47.95238095238095,228.95238095238096,12,478,Jason_Goldenberg,38,49.26315789473684,235.21052631578948,11,471,Courtney_Kirkland,51,46.0,224.92156862745097,11,468,199.0,0.95875,0.6545,34.75,48.0,1.381294964028777,52.0,1.601
0022200214,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,BOS,0.46819512195121954,0.3729756097560976,12.853658536585366,26.51219512195122,2.062618595825427,20.048780487804876,0.8114390243902441,Eric_Dalen,35,42.77142857142857,218.68571428571428,14,464,Kevin_Scott,51,46.411764705882355,229.23529411764707,12,467,Dedric_Taylor,52,46.48076923076923,229.48076923076923,10,469,227.0,0.9780000000000001,0.7303333333333334,22.333333333333332,56.333333333333336,2.5223880597014925,28.0,1.6716666666666669
0022200235,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,TOR,0.45341463414634153,0.3356585365853658,11.707317073170731,24.073170731707318,2.05625,22.048780487804876,0.7891951219512193,Sean_Corbin,37,49.729729729729726,234.40540540540542,10,469,Lauren_Holtkamp,28,47.32142857142857,236.39285714285714,14,473,Ben_Taylor,56,48.32142857142857,230.375,12,470,246.0,0.9446666666666665,0.6449999999999999,26.666666666666668,47.0,1.7625,55.666666666666664,1.656
0022200263,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,SAC,0.4808292682926828,0.3563414634146342,13.926829268292684,26.609756097560975,1.9106830122591945,24.463414634146343,0.7893170731707317,Brian_Forte,53,46.81132075471698,227.96226415094338,9,468,Kevin_Scott,51,46.411764705882355,229.23529411764707,12,467,Danielle_Scott,6,46.833333333333336,236.33333333333334,11,486,221.0,0.9545,0.6950000000000001,29.5,48.5,1.6440677966101696,46.5,1.753
0022200293,ATL,0.4825609756097561,0.347439024390244,12.658536585365853,25.29268292682927,1.998073217726397,22.26829268292683,0.8225365853658537,MIA,0.4513414634146342,0.32573170731707324,13.75609756097561,23.78048780487805,1.7287234042553192,22.51219512195122,0.808512195121951,Marc_Davis,50,47.06,227.22,11,468,Jacyn_Goble,46,49.82608695652174,230.1086956521739,13,464,Brent_Haskill,5,46.0,227.6,6,469,204.0,1.00525,0.7057500000000001,29.0,54.25,1.8706896551724137,48.25,1.73775
